Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.64066E+12,28/12/2021 04:00,BTCUSD,49821.79,49834.68,47322.97,47676.07,1179.649322
1.64058E+12,27/12/2021 04:00,BTCUSD,51036.12,52104.93,49509.47,49821.79,896.0420795
1.64049E+12,26/12/2021 04:00,BTCUSD,49705.21,51294.26,49460.66,51036.12,489.2356986
1.6404E+12,25/12/2021 04:00,BTCUSD,50872.31,51156.95,49656.65,49705.21,400.6702278
1.64032E+12,24/12/2021 04:00,BTCUSD,51067.84,51866.86,50461.08,50872.31,558.1178109
1.64023E+12,23/12/2021 04:00,BTCUSD,48545.38,51533.71,48072.35,51067.84,1001.255089
1.64015E+12,22/12/2021 04:00,BTCUSD,49263.44,49548.86,48063.36,48545.38,726.8006759
1.64006E+12,21/12/2021 04:00,BTCUSD,47954.56,49598.11,47948.07,49263.44,1235.891351
1.63997E+12,20/12/2021 04:00,BTCUSD,46709.08,48082.61,45579.18,47954.56,954.7029059
1.63989E+12,19/12/2021 04:00,BTCUSD,47745.99,48306.22,46255,46709.08,670.5182395
1.6398E+12,18/12/2021 04:00,BTCUSD,46312.19,47980.93,46100,47745.99,500.9815147
1.63971E+12,17/12/2021 04:00,BTCUSD,47779.8,48194.13,45463.96,46312.19,1294.101146
1.63963E+12,16/12/2021 04:00,BTCUSD,48838.59,49466.29,47438.15,47779.8,881.6692231
1.63954E+12,15/12/2021 04:00,BTCUSD,48280.5,49500,46539,48838.59,1684.171268
1.63945E+12,14/12/2021 04:00,BTCUSD,46968.47,48784.28,46350,48280.5,1026.117909
1.63937E+12,13/12/2021 04:00,BTCUSD,48899.75,49348.69,45618.84,46968.47,1749.037798
1.63928E+12,12/12/2021 04:00,BTCUSD,49333.66,50808.48,48490.81,48899.75,779.5458793
1.6392E+12,11/12/2021 04:00,BTCUSD,48331.11,49699.99,47819.28,49333.66,623.8648248
1.63911E+12,10/12/2021 04:00,BTCUSD,48405.03,49243,46759.2,48331.11,766.723395
1.63902E+12,09/12/2021 04:00,BTCUSD,49567.4,50362.35,47335.2,48405.03,1686.802676
1.63894E+12,08/12/2021 04:00,BTCUSD,50162.48,51269.82,48669.68,49567.4,1215.602999
1.63885E+12,07/12/2021 04:00,BTCUSD,51012.43,51982.66,50086,50162.48,1220.785991
1.63876E+12,06/12/2021 04:00,BTCUSD,49103.01,51481.04,47165.65,51012.43,2139.332817
1.63868E+12,05/12/2021 04:00,BTCUSD,49249.56,49786.95,47844.03,49103.01,3697.032547
1.63859E+12,04/12/2021 04:00,BTCUSD,52055.9,52644.42,42074.62,49249.56,5486.886278
1.6385E+12,03/12/2021 04:00,BTCUSD,56380.25,57673.58,51619.3,52055.9,1784.772369
1.63842E+12,02/12/2021 04:00,BTCUSD,56362.19,57277.92,56000,56380.25,1140.494616
1.63833E+12,01/12/2021 04:00,BTCUSD,57404.47,59105.91,55860.02,56362.19,1420.426738
1.63824E+12,30/11/2021 04:00,BTCUSD,57163.87,59226.98,55930.25,57404.47,1487.282388
1.63816E+12,29/11/2021 04:00,BTCUSD,57400.61,58903.31,56734.49,57163.87,1057.040264
1.63807E+12,28/11/2021 04:00,BTCUSD,54161.85,58265.2,53333.33,57400.61,790.7465465
1.63799E+12,27/11/2021 04:00,BTCUSD,54409.03,55320.8,53739.8,54161.85,556.5086102
1.6379E+12,26/11/2021 04:00,BTCUSD,57952.35,58043.76,53529,54409.03,2804.098114
1.63781E+12,25/11/2021 04:00,BTCUSD,57756.25,59476.65,57051.76,57952.35,628.9894648
1.63773E+12,24/11/2021 04:00,BTCUSD,56423.5,58276.58,55899,57756.25,1105.159139
